Address,Currency
0x8ea80ca79cfb68a1387922d2f4d7440ec3f21a71,ETH
0x92c6f2c3dc548a4f2213d16591bd89b9f6c58ebe,ETH
0x7715a8665a2196bb4d12f6e55ee03e1ce27f4a9c,ETH
0x8d16ff9c99498e23829b686d38b3ee43fccb21c5,ETH
0x5592039b367c2ba1761e083a0e24569f4427ccbe,ETH
0x2e57f05a06581b5aae5ab3967dd67402a414901f,ETH
0xeaeae888e83ef9008921d1b123181a580086fdad,ETH
0xc25df39c774c9ea0f1ab18043ef068ae02e66f72,ETH
0x25412c771a428d091c5874e747f9dd199a51bfb3,ETH
0x3f0b7eaa3784bbdbbdd056a055f8c2de1ec85b87,ETH
0xac2f1be9fd64e9bad7df013b872519e20922a870,ETH
0xb7ce9bdf4452d3b84ca80e25dfecd7c4f0d4c1c4,ETH
0x52707a4e0c635ac76041df81841b3dc92663d510,ETH
0x65921e457c4f268858ee2c6a3c19c25aa9547d27,ETH
0xc06d2022b38f2ff373d89452e02d5132ced6dd03,ETH
0x0058be661923eed365bd1a6d6ae08db30016520b,ETH
0xabbdf57156d6661271f6ba73ac2cfe6cd89100a3,ETH
0x1ffe9bb6a395f4574e21c71e33201a7bc6fc18e3,ETH
0xa9df0a180b569f7564031a8300ad09e619cd3e43,ETH
0x2f4d44255380ea213766ea91518e9d930a8b30d7,ETH
0xb6cbf9305babc1096403b61daea6c041a8ef3a17,ETH
0xf2b556a5ba3e345e4b81c1111fff2bd89916c260,ETH
0x46e74bea4f52bda5f9f8c2e030e177fc6dd1c3ae,ETH
0x87477a30f975640fc853b87b413aec3077cf0b23,ETH
0xb831f81720853542305c89f9dea21f58a89bdd4f,ETH
0x9a4008efefc779544bfb4c6ed6ea3569fb956724,ETH
0x90b075528f251596808533a449dad825a86bca5d,ETH
0xe8d6ce48a968a7fdc0575c72f1a2be4ab4b546be,ETH
0xbf61d613050839c5262f75b6548a51482b637c30,ETH
0x2fd2b8aca1e3536d55c78d275e2355d25a8c7fb5,ETH
0x752c818854afdbe8b5ebd94b4fb4a545e60759f3,ETH
0xb068d9cdebb83dc4c109785ac8df97a1fa40afac,ETH
0x3529511fabcb36615066f36069ead2744e347fcf,ETH
0x331213f02a9a70a2dac891d2275e50971b2c9b6a,ETH
0x8153ff1833fb5384a09d360173af31991d74e24b,ETH
0x3d8c6d8054b93ac408f8a946d467c0e815beee1e,ETH
0xb186c80159b8318490b23279c60d3b0f3b8aeabc,ETH
0x7cf4106afa26c36cd6ebc8f9d12d05beb8603b7d,ETH
0x95457365db9d3c7a7bbe334085cd5e23ee70ff13,ETH
0xb7720edf456ee49f982688ad6ac5104ac13ecab0,ETH
0x9036547f81e266dfbe45ddcb224f5c37801bd800,ETH
0x9750f8fa6c0b735bd2e24713feee258820580878,ETH
0x3d7db43a58859377df1bb6aeaed2f79231053e56,ETH
0xef737d04d081376a51ab94215ed6752dea207f62,ETH
